 row_number | game_match_uuid |         player_1_fingerprint         | player_1_action | player_1_score |         player_2_fingerprint         | player_2_action | player_2_score | player_1_cooperation_percent | player_2_cooperation_percent | avg_cooperation_percent | player_1_cumulative_score | player_2_cumulative_score | player_1_country | player_1_city | player_2_country | player_2_city |   round_start    |    round_end     | match_complete | match_completed_at 
         15 | e3d3c00e        | a511ba7a-5db3-424c-b413-a193aafd07ec | Cooperate       |             20 | c870e1cd-7d1f-4423-9698-a27737a27b05 | Cooperate       |             20 |                         0.53 |                         0.53 |                    0.53 |                       230 |                       230 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 15:05 | 2025-06-03 15:05 | t              | 2025-06-03 15:06
         16 | e3d3c00e        | a511ba7a-5db3-424c-b413-a193aafd07ec | Defect          |             10 | c870e1cd-7d1f-4423-9698-a27737a27b05 | Defect          |             10 |                          0.5 |                          0.5 |                     0.5 |                       240 |                       240 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 15:05 | 2025-06-03 15:05 | t              | 2025-06-03 15:06
         17 | e3d3c00e        | a511ba7a-5db3-424c-b413-a193aafd07ec | Defect          |             30 | c870e1cd-7d1f-4423-9698-a27737a27b05 | Cooperate       |              0 |                         0.47 |                         0.53 |                     0.5 |                       270 |                       240 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 15:05 | 2025-06-03 15:05 | t              | 2025-06-03 15:06
         18 | e3d3c00e        | a511ba7a-5db3-424c-b413-a193aafd07ec | Cooperate       |              0 | c870e1cd-7d1f-4423-9698-a27737a27b05 | Defect          |             30 |                          0.5 |                          0.5 |                     0.5 |                       270 |                       270 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 15:05 | 2025-06-03 15:05 | t              | 2025-06-03 15:06
         19 | e3d3c00e        | a511ba7a-5db3-424c-b413-a193aafd07ec | Defect          |             30 | c870e1cd-7d1f-4423-9698-a27737a27b05 | Cooperate       |              0 |                         0.47 |                         0.53 |                     0.5 |                       300 |                       270 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 15:05 | 2025-06-03 15:05 | t              | 2025-06-03 15:06
         20 | e3d3c00e        | a511ba7a-5db3-424c-b413-a193aafd07ec | Cooperate       |              0 | c870e1cd-7d1f-4423-9698-a27737a27b05 | Defect          |             30 |                          0.5 |                          0.5 |                     0.5 |                       300 |                       300 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 15:05 | 2025-06-03 15:05 | t              | 2025-06-03 15:06
         21 | e3d3c00e        | a511ba7a-5db3-424c-b413-a193aafd07ec | Defect          |             30 | c870e1cd-7d1f-4423-9698-a27737a27b05 | Cooperate       |              0 |                         0.48 |                         0.52 |                     0.5 |                       330 |                       300 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 15:05 | 2025-06-03 15:05 | t              | 2025-06-03 15:06
         22 | e3d3c00e        | a511ba7a-5db3-424c-b413-a193aafd07ec | Cooperate       |              0 | c870e1cd-7d1f-4423-9698-a27737a27b05 | Defect          |             30 |                          0.5 |                          0.5 |                     0.5 |                       330 |                       330 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 15:05 | 2025-06-03 15:05 | t              | 2025-06-03 15:06
         23 | e3d3c00e        | a511ba7a-5db3-424c-b413-a193aafd07ec | Defect          |             30 | c870e1cd-7d1f-4423-9698-a27737a27b05 | Cooperate       |              0 |                         0.48 |                         0.52 |                     0.5 |                       360 |                       330 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 15:05 | 2025-06-03 15:06 | t              | 2025-06-03 15:06
         24 | e3d3c00e        | a511ba7a-5db3-424c-b413-a193aafd07ec | Cooperate       |              0 | c870e1cd-7d1f-4423-9698-a27737a27b05 | Defect          |             30 |                          0.5 |                          0.5 |                     0.5 |                       360 |                       360 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 15:06 | 2025-06-03 15:06 | t              | 2025-06-03 15:06
         25 | e3d3c00e        | a511ba7a-5db3-424c-b413-a193aafd07ec | Defect          |             30 | c870e1cd-7d1f-4423-9698-a27737a27b05 | Cooperate       |              0 |                         0.48 |                         0.52 |                     0.5 |                       390 |                       360 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 15:06 | 2025-06-03 15:06 | t              | 2025-06-03 15:06
(50 rows)

